time;x;y
32636;9.03;8
32636;19.89;7
32636;28.46;6
32636;37.28;5
32636;46.34;4
32636;56.69;3
32636;67.82;2
32636;87.11;1
32636;9999;0
32636;9999;-1
32727;9999;8
32727;6.02;7
32727;15.44;6
32727;22.72;5
32727;30;4
32727;41.36;3
32727;52.72;2
32727;64.08;1
32727;9999;0
32727;9999;-1
32826;0.96;8
32826;9.74;7
32826;18.14;6
32826;25.98;5
32826;33.25;4
32826;43.74;3
32826;62.81;2
32826;81.12;1
32826;9999;0
32826;9999;-1
32932;9999;8
32932;10.63;7
32932;21.14;6
32932;30.79;5
32932;37.4;4
32932;44.01;3
32932;54.73;2
32932;70;1
32932;9999;0
32932;9999;-1
33018;0.32;8
33018;11.12;7
33018;22.62;6
33018;32.57;5
33018;39.32;4
33018;46.21;3
33018;53.79;2
33018;60.87;1
33018;9999;0
33018;9999;-1
33093;9999;8
33093;10.58;7
33093;15.73;6
33093;18.6;5
33093;25.54;4
33093;32.94;3
33093;40.29;2
33093;47.88;1
33093;9999;0
33093;9999;-1
33121;9999;8
33121;9.74;7
33121;16.8;6
33121;20.62;5
33121;25.91;4
33121;33.17;3
33121;42.79;2
33121;56.13;1
33121;9999;0
33121;9999;-1
33182;0.61;8
33182;10.21;7
33182;12.79;6
33182;19.02;5
33182;28.82;4
33182;35.64;3
33182;42.05;2
33182;49.29;1
33182;9999;0
33182;9999;-1
33297;1.49;8
33297;7.95;7
33297;14.42;6
33297;26.16;5
33297;32.78;4
33297;39.57;3
33297;46.06;2
33297;51.34;1
33297;9999;0
33297;9999;-1
33372;1.06;8
33372;7.7;7
33372;14.34;6
33372;26.64;5
33372;35.75;4
33372;43.52;3
33372;51.39;2
33372;59.21;1
33372;9999;0
33372;9999;-1
33652;0;8
33652;9.08;7
33652;13.78;6
33652;26.56;5
33652;36.65;4
33652;45.21;3
33652;55.85;2
33652;71.12;1
33652;9999;0
33652;9999;-1
33729;0.15;8
33729;7.73;7
33729;15.44;6
33729;26.47;5
33729;35.67;4
33729;44;3
33729;48.73;2
33729;52.92;1
33729;9999;0
33729;9999;-1
33819;9999;8
33819;1.78;7
33819;3.94;6
33819;10.31;5
33819;17.71;4
33819;27.39;3
33819;42.03;2
33819;58.43;1
33819;9999;0
33819;9999;-1
33920;2.12;8
33920;4.94;7
33920;11.36;6
33920;23.05;5
33920;34.72;4
33920;42.34;3
33920;50.8;2
33920;59.73;1
33920;9999;0
33920;9999;-1
34099;9999;8
34099;3.51;7
34099;11.66;6
34099;23.34;5
34099;32.18;4
34099;39.95;3
34099;48.5;2
34099;58.5;1
34099;9999;0
34099;9999;-1
34185;9999;8
34185;3.25;7
34185;10.46;6
34185;17.33;5
34185;23.63;4
34185;29.94;3
34185;39.22;2
34185;48.8;1
34185;9999;0
34185;9999;-1
34290;9999;8
34290;2.65;7
34290;10.67;6
34290;19.45;5
34290;29.13;4
34290;38.48;3
34290;49.33;2
34290;63.75;1
34290;9999;0
34290;9999;-1
34393;9999;8
34393;2.55;7
34393;10.8;6
34393;29.7;5
34393;36.91;4
34393;43.88;3
34393;52.88;2
34393;62.25;1
34393;9999;0
34393;9999;-1
34479;0.33;8
34479;6.97;7
34479;13.61;6
34479;24.2;5
34479;33.18;4
34479;42;3
34479;48.77;2
34479;54.49;1
34479;9999;0
34479;9999;-1
34569;9999;8
34569;5.25;7
34569;6.56;6
34569;10.88;5
34569;15.9;4
34569;24.1;3
34569;32.19;2
34569;40;1
34569;9999;0
34569;9999;-1
34642;9999;8
34642;3.81;7
34642;9.4;6
34642;15;5
34642;22.94;4
34642;31.27;3
34642;42.81;2
34642;58.2;1
34642;9999;0
